1;1;'Batavia Brune';'Salade craquante classique, facile à cultiver.';'legumes/salade/batavia_blonde.jpg';'sld-batavia-brune'
2;1;'Batavia Blonde';'Salade craquante classique, facile à cultiver.';'legumes/salade/batavia_brune.png';'sld-batavia-blonde'
3;1;'Laitue Blonde';'Salade tendre classique, facile à cultiver.';'legumes/salade/laitue_blonde.jpg';'sld-laitue-blonde'
4;1;'Laitue Brune';Salade tendre classique, facile à cultiver';'legumes/salade/laitue_brune.jpg';'sld-laitue-brune'
5;1;'Sucrine';'Salade à culture rapide, craquante';'legumes/salade/sucrine.jpg';'sld-sucrine'
6;1;'Rougette';'Salade à culture rapide, craquante';'legumes/salade/rougette.jpg';'sld-rougette'
7;1;'Iceberg';'Salade très craquante, résiste bien à la chaleur de cuisson';'legumes/salade/iceberg.jpg';'sld-iceberg'
8;1;'Reine des glaces';'Salade très craquante, résiste bien à la chaleur de cuisson';'legumes/salade/reine_glace.jpg';'sld-reine-glace'
9;1;'Feuille de chêne blonde';'Salade craquante';'legumes/salade/chene_blonde.jpg';'sld-chene-blonde'
10;1;'Feuille de chêne brune';'Salade craquante';'legumes/salade/chene_brune.png';'sld-chene-brune'
11;1;'Feuille de chêne à couper';'Salade craquante, ne pomme pas mais plusieurs récoltes sont possibles, plutôt dure';'legumes/salade/chene_coupe.jpg';'sld-chene-coupe'
12;1;'Romaine Blonde';'Salade craquante, ne pomme con mais plusieurs récoltes sont possibles';'legumes/salade/romaine_blonde.jpg';'sld-romaine-blonde'
13;1;'Romaine Brune';'Salade craquante qui se developpe en hauteur';'legumes/salade/romaine_brune.jpg';'sld-romaine-brune'
14;2;'Scarole';'Chicorée craquante';'legumes/salade/scarole.jpg';'sld-scarole'
15;2;'Frisée';'Chicorée amère, plutôt dure';'legumes/salade/frise.jpg';'sld-frise'
16;2;'Vérone';'Chicorée amère, très craquante';'legumes/salade/verone.jpg';'sld-verone'
17;2;'Pain de sucre';'Chicorée amère';'legumes/salade/pain_sucre.jpg';'sld-pain-sucre'
18;2;'Cornette';'Chicorée craquante';'legumes/salade/cornette.jpg';'sld-cornette'
19;1;'Passion';'Résiste bien au gel';'legumes/salade/passion.jpg';'sld-passion'
20;2;'Epinard';'Riche en fer, devenez comme Popey. Un argument pour convaincre vos enfants!';'legumes/salade/epinard.jpg';'epinard'
21;1;'Mache';'Petite salade, très agréable en bouche.';'legumes/salade/mache.jpg';'sld-mache'
22;4;'Chou Blanc';'Chou très pommé, idéal pour soupe et salade.';'legumes/chou/cabus.jpg';'cho-blanc'
23;4;'Chou Frisé';'Chou pommé de référence, idéal pour soupe et farci';'legumes/chou/frise.jpg';'cho-frise'
24;4;'Chou Fleur';'Chou fleur classique, en gratin, blanchi et même cru!';'legumes/chou/fleur.jpg';'cho-fleur'
25;4;'Chou Brocoli';'Chou brocoli classique, très bon blanchi';'legumes/chou/brocoli.jpg';'cho-brocoli'
26;4;'Chou de Bruxelle';'Chou qui tiens bien la cuisson, pas besoin de le blanchir si vous le faites à la poêle.';'legumes/chou/bruxelle.jpg';'cho-bruxelle'
27;4;'Chou Rouge';'Idéal en soupe ou en salade';'legumes/chou/romanesco.jpg';'cho-rouge'
28;5;'Chou Romanesco';'Plus petit que son cousin le chou fleur, mais aussi bien plus bon!';'legumes/chou/romanesco.jpg';'cho-romanesco'
29;5;'Chou Rave Rouge';'Idéal en salade';'legumes/chou/rave-rouge.jpg';'cho-rave-rouge'
30;5;'Chou Kale';'Idéal pour faire du farci, il ne pomme pas.';'legumes/chou/kale.jpg';'cho-kale'
31;5;'Chou Pontoise';'Ancienne variété du chou frisé commun, retombez en enfance.';'legumes/chou/pontoise.jpg';'cho-pontoise'
32;5;'Chou Fleur Vert';'Plus digeste que le chou fleur blanc. Vivement conseillé pour les amoureux du chou fleur qui ne peuvent pas en manger car cardiaque, celui-ci est sain pour vous!';'legumes/chou/fleur_vert.jpg';'cho-fleur-vert'
33;5;'Chou Fourrager';'Chou qui ne pomme pas, utilisé principalement pour nourrir vos animaux, il est également très bon en cuisine';'legumes/chou/fourrager.jpg';'cho-fourrager'
34;5;'Chou de Chine';'Chou à culture rapide, similaire à une salade, peut être mangé cru ou braisé';'legumes/chou/chine.jpg';'cho-chine'
35;6;'Courgette Longue Verte';'Courgette non coureuse classique.';'legumes/curcubitace/courgette/long_vert.jpg';'crgt-longue-verte'
36;6;'Courgette Ronde Verte';'Courgette non coureuse classique.';'legumes/curcubitace/courgette/rond_vert.jpg';'crgt-ronde-verte'
37;6;'Courgette Longue Jaune';'Courgette non coureuse classique. Plus digeste que la verte';'legumes/curcubitace/courgette/longue_jaune.jpg';'crgt-longue-jaune'
